Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Latencia,50,34,0.069557,0.164032,94.475,0.408412,200,OK
Latencia,50,35,0.063968,0.170293,106.325,0.425743,200,OK
Latencia,50,36,0.079381,0.175305,95.924,0.428669,200,OK
Latencia,50,37,0.075611,0.176742,101.131,0.434063,200,OK
Latencia,50,38,0.077658,0.178731,101.073,0.455035,200,OK
Latencia,50,39,0.071129,0.170653,99.524,0.449703,200,OK
Latencia,50,40,0.072577,0.173987,101.41,0.439439,200,OK
Latencia,50,41,0.071715,0.176591,104.876,0.413326,200,OK
Latencia,50,42,0.069909,0.170954,101.045,0.414419,200,OK
Latencia,50,43,0.069215,0.168947,99.732,0.420639,200,OK
Latencia,50,44,0.072386,0.177912,105.526,0.422744,200,OK
Latencia,50,45,0.062997,0.152331,89.334,0.396459,200,OK
Latencia,50,46,0.073808,0.176999,103.191,0.419132,200,OK
Latencia,50,47,0.063204,0.154653,91.449,0.466969,200,OK
Latencia,50,48,0.062112,0.157251,95.139,0.39508,200,OK
Latencia,50,49,0.06977,0.174259,104.489,0.43926,200,OK
Latencia,50,50,0.068962,0.171442,102.48,0.417831,200,OK
Latencia,100,1,0.11974,0.273565,153.825,0.672961,200,OK
Latencia,100,2,0.11784,0.268378,150.538,0.687175,200,OK
Latencia,100,3,0.125264,0.27821,152.946,0.669228,200,OK
Latencia,100,4,0.118113,0.261778,143.665,0.735807,200,OK
Latencia,100,5,0.116762,0.27195,155.188,0.66173,200,OK
Latencia,100,6,0.119182,0.269393,150.211,0.663303,200,OK
Latencia,100,7,0.123618,0.276541,152.923,0.663679,200,OK
Latencia,100,8,0.120382,0.273836,153.454,0.662812,200,OK
Latencia,100,9,0.117273,0.271687,154.414,0.661346,200,OK
Latencia,100,10,0.124732,0.273495,148.763,0.662632,200,OK
Latencia,100,11,0.125211,0.287892,162.681,0.686392,200,OK
Latencia,100,12,0.126201,0.279477,153.276,0.662318,200,OK
Latencia,100,13,0.125353,0.278399,153.046,0.667039,200,OK
Latencia,100,14,0.114173,0.266807,152.634,0.641833,200,OK
Latencia,100,15,0.114393,0.257195,142.802,0.64974,200,OK
Latencia,100,16,0.144629,0.296993,152.364,0.67847,200,OK
Latencia,100,17,0.118762,0.272028,153.266,0.662062,200,OK
Latencia,100,18,0.118345,0.266854,148.509,0.699531,200,OK
Latencia,100,19,0.114697,0.268999,154.302,0.682227,200,OK
Latencia,100,20,0.124859,0.28307,158.211,0.672437,200,OK
Latencia,100,21,0.119548,0.273656,154.108,0.700901,200,OK
Latencia,100,22,0.126275,0.279097,152.822,0.682173,200,OK
Latencia,100,23,0.134066,0.290888,156.822,0.686622,200,OK
Latencia,100,24,0.130567,0.280534,149.967,0.686927,200,OK
Latencia,100,25,0.114333,0.266202,151.869,0.647418,200,OK
Latencia,100,26,0.114959,0.270331,155.372,0.656316,200,OK
Latencia,100,27,0.113737,0.261733,147.996,0.647324,200,OK
Latencia,100,28,0.130478,0.281414,150.936,0.674884,200,OK
Latencia,100,29,0.13087,0.289584,158.714,0.717626,200,OK
Latencia,100,30,0.125839,0.280252,154.413,0.679004,200,OK
Latencia,100,31,0.118152,0.257072,138.92,0.643733,200,OK
Latencia,100,32,0.119465,0.27363,154.165,0.671135,200,OK
Latencia,100,33,0.121713,0.274148,152.435,0.704372,200,OK
Latencia,100,34,0.155745,0.317692,161.947,0.714046,200,OK
Latencia,100,35,0.124778,0.278525,153.747,0.678877,200,OK
Latencia,100,36,0.125765,0.293247,167.482,0.703976,200,OK
Latencia,100,37,0.161036,0.308524,147.488,0.708312,200,OK
Latencia,100,38,0.118795,0.276323,157.528,0.673373,200,OK
Latencia,100,39,0.121996,0.284969,162.973,0.707886,200,OK
Latencia,100,40,0.117556,0.271089,153.533,0.67243,200,OK
Latencia,100,41,0.119927,0.274808,154.881,0.663216,200,OK
Latencia,100,42,0.123353,0.278135,154.782,0.663712,200,OK
Latencia,100,43,0.125131,0.278361,153.23,0.673099,200,OK
Latencia,100,44,0.123693,0.277332,153.639,0.676385,200,OK
Latencia,100,45,0.12464,0.278508,153.868,0.670644,200,OK
Latencia,100,46,0.114113,0.266852,152.739,0.675954,200,OK
Latencia,100,47,0.114251,0.254413,140.162,0.642563,200,OK
Latencia,100,48,0.115461,0.263848,148.387,0.659148,200,OK
Latencia,100,49,0.116094,0.269417,153.323,0.653822,200,OK
Latencia,100,50,0.118328,0.271809,153.481,0.653141,200,OK
Latencia,200,1,0.221316,0.47291,251.594,1.172671,200,OK
Latencia,200,2,0.235136,0.488913,253.777,1.202155,200,OK
Latencia,200,3,0.22282,0.472084,249.264,1.170062,200,OK
Latencia,200,4,0.219877,0.469566,249.689,1.186033,200,OK
Latencia,200,5,0.221082,0.478309,257.227,1.212574,200,OK
Latencia,200,6,0.227962,0.479937,251.975,1.19106,200,OK
Latencia,200,7,0.224235,0.476834,252.599,1.186586,200,OK
Latencia,200,8,0.228153,0.470115,241.962,1.165456,200,OK
Latencia,200,9,0.222175,0.476349,254.174,1.177664,200,OK
Latencia,200,10,0.225459,0.475023,249.564,1.182637,200,OK
Latencia,200,11,0.230748,0.485675,254.927,1.176972,200,OK
Latencia,200,12,0.216909,0.465872,248.963,1.16388,200,OK
Latencia,200,13,0.217255,0.471649,254.394,1.177682,200,OK
Latencia,200,14,0.269365,0.531156,261.791,1.244297,200,OK
Latencia,200,15,0.218123,0.471678,253.555,1.163442,200,OK
Latencia,200,16,0.216695,0.468577,251.882,1.19038,200,OK
Latencia,200,17,0.240811,0.48247,241.659,1.216419,200,OK
Latencia,200,18,0.224393,0.470849,246.456,1.201514,200,OK
Latencia,200,19,0.273721,0.52742,253.699,1.232712,200,OK
Latencia,200,20,0.268456,0.514512,246.056,1.212105,200,OK
Latencia,200,21,0.22356,0.469345,245.785,1.289,200,OK
Latencia,200,22,0.218896,0.459617,240.721,1.827314,200,OK
Latencia,200,23,0.251406,0.596747,345.341,1.375249,200,OK
Latencia,200,24,0.22404,0.476974,252.934,1.17068,200,OK
Latencia,200,25,0.226905,0.478471,251.566,1.166228,200,OK
Latencia,200,26,0.21498,0.464683,249.703,1.157362,200,OK
Latencia,200,27,0.21732,0.463158,245.838,1.155354,200,OK
Latencia,200,28,0.219861,0.470839,250.978,1.167265,200,OK
Latencia,200,29,0.215911,0.467762,251.851,1.157949,200,OK
Latencia,200,30,0.216231,0.46989,253.659,1.15418,200,OK
Latencia,200,31,0.222664,0.48095,258.286,1.174249,200,OK
Latencia,200,32,0.21995,0.470937,250.987,1.171429,200,OK
Latencia,200,33,0.224238,0.470582,246.344,1.164795,200,OK
Latencia,200,34,0.232924,0.49003,257.106,1.192695,200,OK
Latencia,200,35,0.225043,0.479477,254.434,1.170873,200,OK
Latencia,200,36,0.218422,0.466116,247.694,1.153616,200,OK
Latencia,200,37,0.219216,0.474914,255.698,1.163769,200,OK
Latencia,200,38,0.215979,0.467816,251.837,1.157602,200,OK
Latencia,200,39,0.216695,0.462155,245.46,1.157084,200,OK
Latencia,200,40,0.220721,0.470849,250.128,1.156291,200,OK
Latencia,200,41,0.216699,0.465815,249.116,1.167384,200,OK
Latencia,200,42,0.222102,0.475702,253.6,1.170848,200,OK
Latencia,200,43,0.222508,0.468275,245.767,1.173389,200,OK
Latencia,200,44,0.224797,0.477203,252.406,1.173868,200,OK
Latencia,200,45,0.219258,0.458272,239.014,1.145145,200,OK
Latencia,200,46,0.215901,0.46163,245.729,1.157395,200,OK
Latencia,200,47,0.216688,0.461637,244.949,1.145125,200,OK
Latencia,200,48,0.222262,0.475193,252.931,1.170229,200,OK
Latencia,200,49,0.222493,0.475722,253.229,1.170634,200,OK
Latencia,200,50,0.215235,0.457494,242.259,1.15261,200,OK
Latencia,300,1,0.321032,0.66324,342.208,1.652761,200,OK
Latencia,300,2,0.31533,0.664316,348.986,1.654883,200,OK
Latencia,300,3,0.317663,0.666992,349.329,1.669985,200,OK
Latencia,300,4,0.318166,0.671623,353.457,1.674415,200,OK
Latencia,300,5,0.345362,0.693192,347.83,1.679705,200,OK
Latencia,300,6,0.323222,0.675677,352.455,1.676246,200,OK
Latencia,300,7,0.314385,0.665066,350.681,1.668536,200,OK
Latencia,300,8,0.325799,0.668094,342.295,1.657419,200,OK
Latencia,300,9,0.316246,0.669833,353.587,1.66708,200,OK
Latencia,300,10,0.315059,0.662049,346.99,1.685616,200,OK
Latencia,300,11,0.32365,0.672126,348.476,1.669773,200,OK
Latencia,300,12,0.313075,0.658669,345.594,1.651522,200,OK
Latencia,300,13,0.324758,0.682302,357.544,1.677287,200,OK
Latencia,300,14,0.317326,0.658773,341.447,1.654598,200,OK
Latencia,300,15,0.319054,0.672498,353.444,1.670015,200,OK
Latencia,300,16,0.318178,0.667937,349.759,1.664935,200,OK
Latencia,300,17,0.320814,0.668924,348.11,1.662963,200,OK
Latencia,300,18,0.317804,0.67056,352.756,1.660671,200,OK
Latencia,300,19,0.319929,0.6681,348.171,1.666359,200,OK
Latencia,300,20,0.317302,0.667846,350.544,1.673936,200,OK
