Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Latencia,50,34,0.129824,0.296792,166.968,0.736192,200,OK
Latencia,50,35,0.125251,0.298986,173.735,0.689475,200,OK
Latencia,50,36,0.11286,0.271007,158.147,0.636342,200,OK
Latencia,50,37,0.130219,0.288412,158.193,0.691098,200,OK
Latencia,50,38,0.11334,0.264827,151.487,0.675644,200,OK
Latencia,50,39,0.11216,0.277086,164.926,0.647735,200,OK
Latencia,50,40,0.12579,0.280564,154.774,0.659361,200,OK
Latencia,50,41,0.128481,0.283477,154.996,0.546517,200,OK
Latencia,50,42,0.112706,0.266146,153.44,0.523703,200,OK
Latencia,50,43,0.112572,0.264839,152.267,0.618034,200,OK
Latencia,50,44,0.113569,0.266034,152.465,0.674538,200,OK
Latencia,50,45,0.113895,0.266451,152.556,0.665738,200,OK
Latencia,50,46,0.114648,0.270224,155.576,0.649139,200,OK
Latencia,50,47,0.113351,0.266451,153.1,0.536125,200,OK
Latencia,50,48,0.118204,0.276544,158.34,0.648177,200,OK
Latencia,50,49,0.113308,0.269403,156.095,0.619056,200,OK
Latencia,50,50,0.113709,0.267671,153.962,0.649054,200,OK
Latencia,100,1,0.213302,0.467739,254.437,0.994162,200,OK
Latencia,100,2,0.2129,0.464685,251.785,0.984018,200,OK
Latencia,100,3,0.213476,0.470456,256.98,0.994249,200,OK
Latencia,100,4,0.212636,0.472157,259.521,1.026183,200,OK
Latencia,100,5,0.212723,0.464685,251.962,0.885925,200,OK
Latencia,100,6,0.218543,0.474884,256.341,0.983779,200,OK
Latencia,100,7,0.214001,0.468367,254.366,0.977642,200,OK
Latencia,100,8,0.212569,0.463965,251.396,0.979067,200,OK
Latencia,100,9,0.213176,0.473826,260.65,1.012606,200,OK
Latencia,100,10,0.22338,0.477925,254.545,0.992649,200,OK
Latencia,100,11,0.213245,0.474007,260.762,0.987046,200,OK
Latencia,100,12,0.215195,0.466058,250.863,0.887323,200,OK
Latencia,100,13,0.214365,0.46778,253.415,0.977401,200,OK
Latencia,100,14,0.212813,0.465502,252.689,0.996643,200,OK
Latencia,100,15,0.213565,0.465377,251.812,0.989378,200,OK
Latencia,100,16,0.212834,0.465041,252.207,0.984717,200,OK
Latencia,100,17,0.218188,0.468694,250.506,0.88072,200,OK
Latencia,100,18,0.213838,0.466289,252.451,1.013798,200,OK
Latencia,100,19,0.220485,0.494471,273.986,1.026406,200,OK
Latencia,100,20,0.213015,0.464733,251.718,0.882442,200,OK
Latencia,100,21,0.214512,0.469071,254.559,0.991292,200,OK
Latencia,100,22,0.21622,0.475834,259.614,0.999716,200,OK
Latencia,100,23,0.213885,0.467367,253.482,0.981001,200,OK
Latencia,100,24,0.224176,0.485576,261.4,0.975115,200,OK
Latencia,100,25,0.213053,0.464973,251.92,1.010632,200,OK
Latencia,100,26,0.211882,0.464268,252.386,0.881822,200,OK
Latencia,100,27,0.214596,0.466614,252.018,0.974636,200,OK
Latencia,100,28,0.225912,0.490744,264.832,1.224555,200,OK
Latencia,100,29,0.214055,0.466729,252.674,0.964903,200,OK
Latencia,100,30,0.214684,0.467658,252.974,0.97813,200,OK
Latencia,100,31,0.213002,0.471411,258.409,0.963408,200,OK
Latencia,100,32,0.214197,0.468035,253.838,0.992096,200,OK
Latencia,100,33,0.212682,0.466571,253.889,0.958342,200,OK
Latencia,100,34,0.21402,0.485401,271.381,0.983585,200,OK
Latencia,100,35,0.214155,0.467901,253.746,0.979882,200,OK
Latencia,100,36,0.214052,0.472611,258.559,1.020766,200,OK
Latencia,100,37,0.212945,0.473283,260.338,0.969082,200,OK
Latencia,100,38,0.21291,0.465818,252.908,0.989188,200,OK
Latencia,100,39,0.226394,0.479377,252.983,0.8914,200,OK
Latencia,100,40,0.217066,0.466878,249.812,0.989915,200,OK
Latencia,100,41,0.213353,0.465493,252.14,0.888019,200,OK
Latencia,100,42,0.213647,0.470476,256.829,1.006154,200,OK
Latencia,100,43,0.212865,0.468123,255.258,1.014323,200,OK
Latencia,100,44,0.211583,0.465066,253.483,0.876655,200,OK
Latencia,100,45,0.212399,0.465265,252.866,0.879912,200,OK
Latencia,100,46,0.21709,0.472718,255.628,0.973234,200,OK
Latencia,100,47,0.214101,0.468777,254.676,0.996521,200,OK
Latencia,100,48,0.213716,0.467576,253.86,0.888499,200,OK
Latencia,100,49,0.213236,0.468115,254.879,1.020917,200,OK
Latencia,100,50,0.213829,0.467039,253.21,0.885817,200,OK
Latencia,200,1,0.412994,0.86868,455.686,1.67708,200,OK
Latencia,200,2,0.413791,0.867742,453.951,1.686316,200,OK
Latencia,200,3,0.420959,0.872543,451.584,1.685515,200,OK
Latencia,200,4,0.414218,0.868484,454.266,1.695434,200,OK
Latencia,200,5,0.412934,0.869826,456.892,1.734129,200,OK
Latencia,200,6,0.413095,0.865898,452.803,1.697614,200,OK
Latencia,200,7,0.413034,0.87395,460.916,1.681932,200,OK
Latencia,200,8,0.41351,0.867363,453.853,1.691434,200,OK
Latencia,200,9,0.412456,0.866407,453.951,1.680101,200,OK
Latencia,200,10,0.413432,0.866361,452.929,1.669694,200,OK
Latencia,200,11,0.416264,0.869312,453.048,1.687046,200,OK
Latencia,200,12,0.411949,0.86632,454.371,1.586619,200,OK
Latencia,200,13,0.413507,0.866363,452.856,1.703428,200,OK
Latencia,200,14,0.419085,0.870751,451.666,1.662069,200,OK
Latencia,200,15,0.413652,0.86714,453.488,1.658457,200,OK
Latencia,200,16,0.414919,0.867789,452.87,1.587866,200,OK
Latencia,200,17,0.412665,0.867668,455.003,1.591391,200,OK
Latencia,200,18,0.413507,0.864682,451.175,1.708592,200,OK
Latencia,200,19,0.413521,0.865523,452.002,1.685191,200,OK
Latencia,200,20,0.413473,0.867527,454.054,1.686633,200,OK
Latencia,200,21,0.420814,0.87376,452.946,1.68908,200,OK
Latencia,200,22,0.412907,0.86765,454.743,1.724574,200,OK
Latencia,200,23,0.419061,0.873807,454.746,1.717628,200,OK
Latencia,200,24,0.413599,0.869022,455.423,1.668759,200,OK
Latencia,200,25,0.412779,0.864953,452.174,1.693641,200,OK
Latencia,200,26,0.414082,0.86978,455.698,1.711353,200,OK
Latencia,200,27,0.413502,0.866478,452.976,1.691935,200,OK
Latencia,200,28,0.412681,0.86907,456.389,1.593368,200,OK
Latencia,200,29,0.413817,0.880481,466.664,1.607891,200,OK
Latencia,200,30,0.421752,0.875604,453.852,1.666747,200,OK
Latencia,200,31,0.412652,0.870014,457.362,1.722051,200,OK
Latencia,200,32,0.412819,0.865281,452.462,1.720525,200,OK
Latencia,200,33,0.41253,0.86876,456.23,1.682596,200,OK
Latencia,200,34,0.413288,0.868474,455.186,1.715544,200,OK
Latencia,200,35,0.415886,0.867143,451.257,1.686311,200,OK
Latencia,200,36,0.413311,0.868292,454.981,1.719412,200,OK
Latencia,200,37,0.417475,0.870732,453.257,1.692173,200,OK
Latencia,200,38,0.412999,0.866509,453.51,1.690884,200,OK
Latencia,200,39,0.422416,0.875276,452.86,1.696862,200,OK
Latencia,200,40,0.41665,0.867875,451.225,1.681771,200,OK
Latencia,200,41,0.413586,0.877361,463.775,1.692264,200,OK
Latencia,200,42,0.412457,0.865021,452.564,1.581951,200,OK
Latencia,200,43,0.412587,0.864581,451.994,1.679858,200,OK
Latencia,200,44,0.413896,0.871684,457.788,1.681621,200,OK
Latencia,200,45,0.413124,0.867494,454.37,1.690396,200,OK
Latencia,200,46,0.413859,0.866673,452.814,1.663616,200,OK
Latencia,200,47,0.413525,0.866692,453.167,1.702964,200,OK
Latencia,200,48,0.422001,0.880783,458.782,1.690115,200,OK
Latencia,200,49,0.412442,0.865572,453.13,1.687211,200,OK
Latencia,200,50,0.411995,0.863662,451.667,1.671976,200,OK
Latencia,300,1,0.613648,1.285164,671.516,2.418004,200,OK
Latencia,300,2,0.612297,1.264104,651.807,2.288882,200,OK
Latencia,300,3,0.613318,1.267843,654.525,2.440479,200,OK
Latencia,300,4,0.612935,1.26454,651.605,2.278741,200,OK
Latencia,300,5,0.612869,1.267153,654.284,2.481199,200,OK
Latencia,300,6,0.622929,1.308174,685.245,2.43174,200,OK
Latencia,300,7,0.613233,1.267362,654.129,2.375776,200,OK
Latencia,300,8,0.617135,1.275061,657.926,2.36531,200,OK
Latencia,300,9,0.614961,1.268767,653.806,2.389896,200,OK
Latencia,300,10,0.616005,1.268699,652.694,2.420011,200,OK
Latencia,300,11,0.613209,1.273658,660.449,2.437792,200,OK
Latencia,300,12,0.613014,1.270161,657.147,2.364835,200,OK
Latencia,300,13,0.612462,1.26474,652.278,2.270119,200,OK
Latencia,300,14,0.612134,1.269003,656.869,2.498962,200,OK
Latencia,300,15,0.62596,1.276347,650.387,2.415324,200,OK
Latencia,300,16,0.613819,1.268785,654.966,2.280046,200,OK
Latencia,300,17,0.612584,1.267652,655.068,2.279834,200,OK
Latencia,300,18,0.613589,1.264916,651.327,2.38897,200,OK
Latencia,300,19,0.621225,1.276111,654.886,2.296097,200,OK
Latencia,300,20,0.613178,1.274542,661.364,2.297061,200,OK
Latencia,300,21,0.616457,1.271094,654.637,2.297071,200,OK
Latencia,300,22,0.612681,1.263924,651.243,2.373342,200,OK
Latencia,300,23,0.614264,1.270941,656.677,2.385514,200,OK
Latencia,300,24,0.614899,1.266394,651.495,2.361686,200,OK
Latencia,300,25,0.613334,1.265096,651.762,2.274327,200,OK
Latencia,300,26,0.614018,1.27168,657.662,2.375476,200,OK
Latencia,300,27,0.613477,1.265091,651.614,2.411115,200,OK
Latencia,300,28,0.613112,1.265393,652.281,2.377859,200,OK
Latencia,300,29,0.613748,1.265488,651.74,2.400456,200,OK
Latencia,300,30,0.620356,1.279931,659.575,2.405381,200,OK
Latencia,300,31,0.615212,1.267829,652.617,2.405595,200,OK
Latencia,300,32,0.621935,1.27479,652.855,2.396988,200,OK
Latencia,300,33,0.613833,1.26669,652.857,2.418889,200,OK
Latencia,300,34,0.618943,1.270743,651.8,2.282893,200,OK
Latencia,300,35,0.620587,1.290431,669.844,2.304188,200,OK
Latencia,300,36,0.6154,1.267044,651.644,2.383363,200,OK
Latencia,300,37,0.613924,1.266694,652.77,2.372938,200,OK
Latencia,300,38,0.614433,1.26806,653.627,2.414825,200,OK
Latencia,300,39,0.623656,1.282615,658.959,2.40413,200,OK
Latencia,300,40,0.615095,1.271774,656.679,2.369232,200,OK
Latencia,300,41,0.613279,1.270651,657.372,2.393269,200,OK
Latencia,300,42,0.614183,1.272541,658.358,2.393195,200,OK
Latencia,300,43,0.612445,1.265063,652.618,2.389068,200,OK
