Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Latencia,0,1,0.024927,0.084132,59.205,0.184092,200,OK
Latencia,0,2,0.01651,0.064677,48.167,0.153418,200,OK
Latencia,0,3,0.01479,0.063391,48.601,0.157443,200,OK
Latencia,0,4,0.013855,0.063831,49.976,0.15826,200,OK
Latencia,0,5,0.013547,0.059189,45.642,0.140717,200,OK
Latencia,0,6,0.013314,0.066098,52.784,0.164786,200,OK
Latencia,0,7,0.018921,0.074123,55.202,0.191793,200,OK
Latencia,0,8,0.025377,0.083634,58.257,0.182379,200,OK
Latencia,0,9,0.017353,0.075743,58.39,0.169741,200,OK
Latencia,0,10,0.017248,0.07009,52.842,0.162274,200,OK
Latencia,0,11,0.017796,0.067997,50.201,0.156442,200,OK
Latencia,0,12,0.023273,0.086057,62.784,0.205752,200,OK
Latencia,0,13,0.024608,0.083284,58.676,0.207177,200,OK
Latencia,0,14,0.033422,0.093254,59.832,0.187705,200,OK
Latencia,0,15,0.019891,0.070158,50.267,0.161919,200,OK
Latencia,0,16,0.017465,0.069809,52.344,0.167619,200,OK
Latencia,0,17,0.019848,0.075221,55.373,0.172301,200,OK
Latencia,0,18,0.01804,0.067995,49.955,0.162844,200,OK
Latencia,0,19,0.014556,0.06682,52.264,0.187271,200,OK
Latencia,0,20,0.026248,0.097388,71.14,0.201039,200,OK
Latencia,0,21,0.036905,0.091488,54.583,0.183841,200,OK
Latencia,0,22,0.018551,0.074103,55.552,0.163504,200,OK
Latencia,0,23,0.017657,0.067598,49.941,0.161896,200,OK
Latencia,0,24,0.013743,0.065099,51.356,0.154026,200,OK
Latencia,0,25,0.017937,0.073752,55.815,0.167657,200,OK
Latencia,0,26,0.022947,0.083404,60.457,0.209787,200,OK
Latencia,0,27,0.031604,0.089936,58.332,0.182489,200,OK
Latencia,0,28,0.016404,0.070413,54.009,0.16739,200,OK
Latencia,0,29,0.025162,0.084898,59.736,0.179946,200,OK
Latencia,0,30,0.021565,0.081718,60.153,0.179015,200,OK
Latencia,0,31,0.023001,0.081113,58.112,0.176585,200,OK
Latencia,0,32,0.01879,0.073231,54.441,0.168077,200,OK
Latencia,0,33,0.016382,0.066377,49.995,0.15003,200,OK
Latencia,0,34,0.015388,0.065673,50.285,0.155338,200,OK
Latencia,0,35,0.018619,0.07589,57.271,0.174787,200,OK
Latencia,0,36,0.018544,0.073085,54.541,0.169012,200,OK
Latencia,0,37,0.019337,0.071402,52.065,0.164637,200,OK
Latencia,0,38,0.018097,0.071256,53.159,0.192814,200,OK
Latencia,0,39,0.01725,0.08154,64.29,0.18593,200,OK
Latencia,0,40,0.021327,0.071537,50.21,0.178728,200,OK
Latencia,0,41,0.017217,0.073896,56.679,0.168112,200,OK
